SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
<b>بسم</b> الله;<b>بِسْمِ</b> اللَّهِ;Au nom d'Allah.;[sound:1_nom_sentBase.mp3];اسم;اِسْمٌ;nom;[sound:1_nom_vocabDef.mp3];"<img src=""1_nom.avif"">";1;F2K;"expression religieuse, très fréquent;"
<b>انا</b> نوح;<b>أَنَا</b> نُوحٌ;Je suis Noé (Nouh).;[sound:2_je_sentBase.mp3];أنا;أَنَا;je;[sound:2_je_vocabDef.mp3];"<img src=""2_je.avif"">";2;F2K;"pronom 'je', très fréquent;"
<b>أنت</b> محمد;<b>أَنْتَ</b> مُحَمَّدٌ;Tu es Mohammed.;[sound:3_tu_sentBase.mp3];أنت;أَنْتَ;tu;[sound:3_tu_vocabDef.mp3];"<img src=""3_tu.avif"">";3;F2K;"pronom 'tu', très fréquent;"
<b>هو</b> جبريل;<b>هُوَ</b> جِبْرِيلُ;C'est Gabriel (Jibril).;[sound:4_il_sentBase.mp3];هو;هُوَ;il;[sound:4_il_vocabDef.mp3];"<img src=""4_il.avif"">";4;F2K;"pronom 'il', très fréquent;"
<b>هي</b> فاطمة;<b>هِيَ</b> فَاطِمَةُ;C'est Fatima.;[sound:5_elle_sentBase.mp3];هي;هِيَ;elle;[sound:5_elle_vocabDef.mp3];"<img src=""5_elle.avif"">";5;F2K;"pronom 'elle', très fréquent;"
<b>اسمي</b> أحمد;<b>اِسْمِي</b> أَحْمَدُ;Je m'appelle Ahmed.;[sound:6_je_m_appelle_sentBase.mp3];اسمي;اِسْمِي;mon nom;[sound:6_je_m_appelle_vocabDef.mp3];"<img src=""6_je_m_appelle.avif"">";6;F2K;"pour dire son nom;"
<b>مرحبا</b> في بيتي;<b>مَرْحَبًا</b> فِي بَيْتِي;Bienvenue chez moi.;[sound:7_bonjour_sentBase.mp3];مرحبا;مَرْحَبًا;bienvenue;[sound:7_bonjour_vocabDef.mp3];"<img src=""7_bonjour.avif"">";7;F2K;"Ici, مُرْحَبًا a le sens de “bienvenue”.
Selon le contexte, peut vouloir dire bonjour, salut, ou bienvenue."
<b>شكرا</b> يا أستاذ;<b>شُكْرًا</b> يَا أُسْتَاذُ;Merci, professeur.;[sound:8_merci_sentBase.mp3];شكرا;شُكْرًا;merci;[sound:8_merci_vocabDef.mp3];"<img src=""8_merci.avif"">";8;F2K;"formule de politesse;"
<b>نعم</b> يا أمي;<b>نَعَمْ</b> يَا أُمِّي;Oui, maman.;[sound:9_oui_sentBase.mp3];نعم;نَعَمْ;oui;[sound:9_oui_vocabDef.mp3];"<img src=""9_oui.avif"">";9;F2K;"réponse positive;"
<b>لا</b>، شكرا;<b>لَا</b>، شُكْرًا;Non, merci.;[sound:10_non_sentBase.mp3];لا;لَا;non;[sound:10_non_vocabDef.mp3];"<img src=""10_non.avif"">";10;F2K;"réponse négative;"
<b>من فضلك</b> أريد ماء;<b>مِنْ فَضْلِكَ</b> أُرِيدُ مَاءً;S’il te plaît, je veux de l’eau.;[sound:11_s_il_te_plait_sentBase.mp3];من فضلك;مِنْ فَضْلِكَ;s'il te plaît;[sound:11_s_il_te_plait_vocabBase.mp3];"<img src=""11_s_il_te_plait.avif"">";11;F2K;"pour demander poliment;"
"– شكرا يا احمد
– <b>عفوا</b>";"– شُكْرًا يَا أَحْمَدُ
– <b>عَفْوًا</b>";De rien.;[sound:12_de_rien_sentBase.mp3];عفوا;عَفْوًا;de rien;[sound:12_de_rien_vocabBase.mp3];"<img src=""12_de_rien.avif"">";12;F2K;"Ici, عفوا signifie simplement “de rien” (réponse polie à “merci”).
Ce n’est pas “désolé” dans ce contexte."
<b>عفوا</b> انا منشغل;<b>عَفْوًا</b> أَنَا مُنْشَغِلٌ;Pardon, je suis occupé.;[sound:13_pardon_sentBase.mp3];عفوا;عَفْوًا;pardon;[sound:13_pardon_vocabBase.mp3];"<img src=""13_pardon.avif"">";13;F2K;"Ici, عفوا signifie “désolé / pardon”.
On l’utilise pour attirer l’attention ou s’excuser légèrement avant de parler."
<b>كيف</b> حالك؟;<b>كَيْفَ</b> حَالُكَ؟;Comment ça va ?;[sound:14_comment_sentBase.mp3];كيف;كَيْفَ;comment;[sound:14_comment_vocabBase.mp3];"<img src=""14_comment.avif"">";14;F2K;"mot-question;"
أنا <b>بخير</b>;أَنَا <b>بِخَيْرٍ</b>;Je vais bien.;[sound:15_bien_sentBase.mp3];بخير;بِخَيْرٍ;bien;[sound:15_bien_vocabBase.mp3];"<img src=""15_bien.avif"">";15;F2K;"pour dire ça va;"
ما <b>اسمك</b>؟;مَا <b>اِسْمُكَ</b>؟;Quel est ton nom ?;[sound:16_nom_sentBase.mp3];اسمك;اِسْمُكَ;ton nom;[sound:16_nom_vocabBase.mp3];"<img src=""16_nom.avif"">";16;F2K;"question sur le nom;"
